Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,20,ORL,NBA,SF,82,62,2390,368,845,.436,148,364,.407,220,481,.457,.523,91,128,.711,66,261,327,140,51,19,97,200,975
2001-02,21,ORL,NBA,SF,63,53,2123,351,802,.438,116,303,.383,235,499,.471,.510,138,181,.762,49,224,273,198,47,23,108,145,956
2002-03,22,TOT,NBA,SF,65,52,2186,373,859,.434,109,300,.363,264,559,.472,.498,156,186,.839,46,295,341,170,42,21,125,173,1011
2003-04,23,MEM,NBA,SF,65,65,1770,270,616,.438,80,215,.372,190,401,.474,.503,102,141,.723,42,174,216,232,59,14,107,162,722
2004-05,24,MEM,NBA,SF,76,51,2278,387,766,.505,140,323,.433,247,443,.558,.597,108,150,.720,36,264,300,220,54,23,127,197,1022
2005-06,25,MEM,NBA,SG,74,9,2268,354,760,.466,138,339,.407,216,421,.513,.557,168,210,.800,42,355,397,200,52,27,140,173,1014
2006-07,26,MEM,NBA,SG,70,69,2740,465,1010,.460,202,498,.406,263,512,.514,.560,161,203,.793,52,326,378,298,54,18,179,138,1293
2007-08,27,MEM,NBA,SG,70,70,2474,414,824,.502,155,359,.432,259,465,.557,.596,164,212,.774,51,416,467,240,35,16,182,145,1147
2008-09,28,MIN,NBA,SF,73,47,2356,264,548,.482,85,225,.378,179,323,.554,.559,109,149,.732,73,410,483,326,30,31,145,139,722
2009-10,29,WAS,NBA,SG,54,50,1805,217,433,.501,82,171,.480,135,262,.515,.596,70,85,.824,55,281,336,212,39,12,115,131,586
2012-13,32,MIA,NBA,SF,59,17,900,100,231,.433,73,175,.417,27,56,.482,.591,8,11,.727,18,139,157,99,21,4,35,63,281
2013-14,33,MEM,NBA,SF,82,4,1707,213,443,.481,107,233,.459,106,210,.505,.602,46,56,.821,30,177,207,130,26,5,77,95,579
2014-15,34,CLE,NBA,SF,52,15,701,37,114,.325,32,98,.327,5,16,.313,.465,3,4,.750,4,87,91,46,14,4,23,74,109
