Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986-87,23,PHI,NBA,SG,77,9,1612,259,602,.430,13,52,.250,246,550,.447,.441,149,201,.741,70,86,156,155,93,19,128,169,680
1987-88,24,PHI,NBA,SG,61,22,1419,218,545,.400,10,40,.250,208,505,.412,.409,99,132,.750,44,57,101,119,47,22,104,125,545
1989-90,26,SAS,NBA,SG,78,2,1856,220,491,.448,0,13,.000,220,478,.460,.448,87,112,.777,62,133,195,208,89,18,127,154,527
1991-92,28,WSB,NBA,SG,81,72,2127,266,572,.465,1,18,.056,265,554,.478,.466,105,146,.719,80,189,269,247,123,21,124,162,638
1992-93,29,CHH,NBA,SF,72,55,1471,180,336,.536,1,6,.167,179,330,.542,.537,79,107,.738,49,125,174,183,66,9,89,135,440
1993-94,30,CHH,NBA,SG,50,36,1005,136,283,.481,4,12,.333,132,271,.487,.488,34,51,.667,30,104,134,104,42,6,53,85,310
1994-95,31,CHH,NBA,SG,52,9,515,50,122,.410,4,22,.182,46,100,.460,.426,18,24,.750,11,49,60,56,19,6,27,60,122
1995-96,32,SEA,NBA,SG,60,3,695,88,212,.415,15,34,.441,73,178,.410,.450,32,41,.780,17,39,56,58,20,4,42,66,223
1996-97,33,SEA,NBA,SG,65,2,929,89,214,.416,25,71,.352,64,143,.448,.474,33,40,.825,23,51,74,80,44,5,37,108,236
1997-98,34,SEA,NBA,SG,58,2,546,66,140,.471,3,7,.429,63,133,.474,.482,15,29,.517,19,60,79,37,21,3,37,58,150
