Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,22,LAL,NBA,PG,80,3,921,104,262,.397,22,73,.301,82,189,.434,.439,79,120,.658,25,72,97,119,41,5,71,87,309
1997-98,23,LAL,NBA,PG,82,36,1760,164,378,.434,31,81,.383,133,297,.448,.475,115,152,.757,38,155,193,333,75,5,119,126,474
1998-99,24,LAL,NBA,PG,50,21,1131,99,263,.376,38,97,.392,61,166,.367,.449,60,79,.759,21,70,91,197,61,1,77,95,296
1999-00,25,LAL,NBA,PG,78,22,1803,167,483,.346,52,166,.313,115,317,.363,.400,105,145,.724,22,121,143,216,80,3,75,150,491
2000-01,26,LAL,NBA,PG,20,20,709,77,187,.412,25,63,.397,52,124,.419,.479,50,62,.806,5,54,59,87,39,2,29,50,229
2001-02,27,LAL,NBA,PG,70,35,1974,274,666,.411,144,349,.413,130,317,.410,.520,94,111,.847,15,131,146,181,66,9,62,121,786
2002-03,28,LAL,NBA,PG,82,82,2829,339,775,.437,85,212,.401,254,563,.451,.492,100,125,.800,40,199,239,298,93,15,94,195,863
2003-04,29,LAL,NBA,SG,82,3,1769,203,576,.352,52,179,.291,151,397,.380,.398,122,153,.797,30,122,152,187,103,4,79,115,580
2004-05,30,GSW,NBA,PG,74,32,2222,297,755,.393,108,291,.371,189,464,.407,.465,175,203,.862,38,180,218,301,76,4,129,176,877
2005-06,31,GSW,NBA,PG,82,36,2589,364,887,.410,117,295,.397,247,592,.417,.476,244,293,.833,36,175,211,352,125,8,156,237,1089
2006-07,32,UTA,NBA,SG,82,61,2287,258,675,.382,48,156,.308,210,519,.405,.418,262,307,.853,30,119,149,274,83,6,120,234,826
2007-08,33,LAL,NBA,PG,82,82,2249,339,777,.436,112,276,.406,227,501,.453,.508,166,188,.883,24,146,170,239,86,3,90,188,956
2008-09,34,LAL,NBA,PG,82,82,2441,292,688,.424,120,302,.397,172,386,.446,.512,110,130,.846,25,163,188,261,95,6,72,187,814
2009-10,35,LAL,NBA,PG,82,82,2227,212,558,.380,78,224,.348,134,334,.401,.450,113,132,.856,25,145,170,201,90,9,78,202,615
2010-11,36,LAL,NBA,PG,82,82,2297,206,529,.389,63,159,.396,143,370,.386,.449,83,103,.806,14,138,152,224,99,8,70,192,558
2011-12,37,TOT,NBA,PG,63,43,1508,129,348,.371,35,109,.321,94,239,.393,.421,57,67,.851,12,109,121,170,51,4,73,117,350
2011-12,37,LAL,NBA,PG,43,43,1101,92,240,.383,24,74,.324,68,166,.410,.433,44,53,.830,10,82,92,142,40,3,58,85,252
2011-12,37,OKC,NBA,PG,20,0,407,37,108,.343,11,35,.314,26,73,.356,.394,13,14,.929,2,27,29,28,11,1,15,32,98
2012-13,38,TOT,NBA,SG-PG,33,9,575,55,161,.342,30,80,.375,25,81,.309,.435,35,38,.921,2,35,37,47,19,3,30,55,175
2012-13,38,DAL,NBA,PG,9,9,229,23,65,.354,10,23,.435,13,42,.310,.431,21,23,.913,0,15,15,31,5,2,18,24,77
2012-13,38,OKC,NBA,SG,24,0,346,32,96,.333,20,57,.351,12,39,.308,.438,14,15,.933,2,20,22,16,14,1,12,31,98
2013-14,39,OKC,NBA,SG,81,0,1428,141,361,.391,88,229,.384,53,132,.402,.512,55,71,.775,12,110,122,117,70,3,49,157,425
