Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988-89,23,GSW,NBA,SG,36,0,316,51,125,.408,10,26,.385,41,99,.414,.448,34,52,.654,15,26,41,27,23,3,39,36,146
1989-90,24,"Did Not Play(other pro leagueCBA, WBL)"
1990-91,25,NYK,NBA,SG,61,10,1173,180,410,.439,27,93,.290,153,317,.483,.472,79,105,.752,30,101,131,204,59,17,74,137,466
1991-92,26,NYK,NBA,SG,82,0,2118,405,902,.449,94,270,.348,311,632,.492,.501,235,302,.778,45,146,191,276,103,18,150,231,1139
1992-93,27,NYK,NBA,SG,80,51,2477,513,1199,.428,108,336,.321,405,863,.469,.473,263,331,.795,54,150,204,404,91,12,173,234,1397
1993-94,28,NYK,NBA,SG,59,54,2057,410,977,.420,113,337,.335,297,640,.464,.477,187,248,.754,37,148,185,348,95,6,184,191,1120
1994-95,29,NYK,NBA,SG,80,78,2725,419,1062,.395,217,611,.355,202,451,.448,.497,168,228,.737,34,185,219,411,92,4,160,257,1223
1995-96,30,NYK,NBA,SG,81,71,2491,375,846,.443,143,396,.361,232,450,.516,.528,131,174,.753,31,206,237,315,103,11,156,226,1024
1996-97,31,NYK,NBA,SG,77,1,2042,369,856,.431,150,407,.369,219,449,.488,.519,173,225,.769,36,169,205,217,90,11,158,196,1061
1997-98,32,NYK,NBA,SG,82,10,2188,372,947,.393,130,398,.327,242,549,.441,.461,185,235,.787,48,182,230,219,78,5,143,205,1059
1998-99,33,GSW,NBA,SG,50,50,1686,269,728,.370,78,269,.290,191,459,.416,.423,74,100,.740,33,130,163,235,69,5,83,135,690
1999-00,34,TOT,NBA,SG,37,30,1190,203,542,.375,59,171,.345,144,371,.388,.429,50,59,.847,10,91,101,181,42,4,67,102,515
1999-00,34,GSW,NBA,SG,33,30,1108,192,508,.378,56,161,.348,136,347,.392,.433,45,54,.833,10,81,91,170,37,3,64,93,485
1999-00,34,CHI,NBA,SG,4,0,82,11,34,.324,3,10,.300,8,24,.333,.368,5,5,1.000,0,10,10,11,5,1,3,9,30
2000-01,35,UTA,NBA,SG,75,64,2122,273,686,.398,64,182,.352,209,504,.415,.445,89,111,.802,29,125,154,178,73,10,94,217,699
2001-02,36,UTA,NBA,SG,66,1,929,114,310,.368,29,95,.305,85,215,.395,.415,33,41,.805,15,53,68,70,33,0,52,126,290
