Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983-84,21,POR,NBA,SG,82,3,1408,252,559,.451,1,4,.250,251,555,.452,.452,123,169,.728,112,123,235,153,107,29,123,209,628
1984-85,22,POR,NBA,SG,80,43,2555,573,1161,.494,8,37,.216,565,1124,.503,.497,223,294,.759,217,259,476,441,177,68,223,265,1377
1985-86,23,POR,NBA,SG,75,58,2576,542,1142,.475,12,60,.200,530,1082,.490,.480,293,381,.769,171,250,421,600,197,46,282,270,1389
1986-87,24,POR,NBA,SG,82,82,3114,707,1408,.502,11,47,.234,696,1361,.511,.506,357,470,.760,227,291,518,566,204,71,253,281,1782
1987-88,25,POR,NBA,SG,81,80,3060,849,1679,.506,11,52,.212,838,1627,.515,.509,476,587,.811,261,272,533,467,203,52,236,250,2185
1988-89,26,POR,NBA,SG,78,78,3064,829,1672,.496,27,104,.260,802,1568,.511,.504,438,548,.799,289,326,615,450,213,54,250,269,2123
1989-90,27,POR,NBA,SG,73,73,2683,670,1357,.494,30,106,.283,640,1251,.512,.505,333,430,.774,208,299,507,432,145,51,191,222,1703
1990-91,28,POR,NBA,SG,82,82,2852,645,1338,.482,61,191,.319,584,1147,.509,.505,416,524,.794,212,334,546,493,144,60,232,226,1767
1991-92,29,POR,NBA,SG,76,76,2751,694,1476,.470,114,338,.337,580,1138,.510,.509,401,505,.794,166,334,500,512,138,70,240,229,1903
1992-93,30,POR,NBA,SF,49,49,1671,350,816,.429,31,133,.233,319,683,.467,.448,245,292,.839,126,183,309,278,95,37,115,159,976
1993-94,31,POR,NBA,SG,68,68,2334,473,1105,.428,71,219,.324,402,886,.454,.460,286,368,.777,154,291,445,333,98,34,167,202,1303
1994-95,32,TOT,NBA,SG,76,75,2728,571,1238,.461,147,408,.360,424,830,.511,.521,364,442,.824,152,328,480,362,136,45,186,206,1653
1995-96,33,HOU,NBA,SG,52,51,1997,331,764,.433,78,235,.332,253,529,.478,.484,265,338,.784,97,276,373,302,105,24,134,153,1005
1996-97,34,HOU,NBA,SG,62,62,2271,397,899,.442,119,335,.355,278,564,.493,.508,201,268,.750,118,255,373,354,119,36,156,151,1114
1997-98,35,HOU,NBA,SG,70,70,2473,452,1059,.427,106,334,.317,346,725,.477,.477,277,346,.801,105,241,346,382,126,42,189,193,1287
