Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,22,PHI,NBA,PF,57,1,487,44,97,.454,0,0,0,44,97,.454,.454,43,71,.606,55,78,133,19,19,12,21,83,131
2006-07,23,PHI,NBA,PF,13,6,179,23,48,.479,0,0,0,23,48,.479,.479,12,22,.545,19,35,54,4,7,10,9,23,58
2007-08,24,PHI,NBA,PF,9,0,27,4,14,.286,0,0,0,4,14,.286,.286,0,0,0,9,2,11,3,1,3,2,5,8
2008-09,25,POR,NBA,PF,10,0,37,8,13,.615,1,1,1.000,7,12,.583,.654,1,4,.250,10,8,18,0,0,1,6,4,18
2009-10,26,TOT,NBA,PF,6,0,53,6,18,.333,0,0,0,6,18,.333,.333,2,2,1.000,7,7,14,1,1,1,3,9,14
2009-10,26,MIA,NBA,PF,3,0,47,5,15,.333,0,0,0,5,15,.333,.333,0,0,0,7,6,13,0,1,1,2,9,10
2009-10,26,POR,NBA,PF,3,0,6,1,3,.333,0,0,0,1,3,.333,.333,2,2,1.000,0,1,1,1,0,0,1,0,4
2010-11,27,Did Not Play(other pro leaguePuerto Rico)
2011-12,28,Did Not Play(other pro leagueChina)
2012-13,29,BOS,NBA,PF,16,0,198,28,48,.583,0,0,0,28,48,.583,.583,11,27,.407,28,42,70,4,8,7,10,38,67
2013-14,30,PHO,NBA,PF,14,0,95,7,14,.500,0,0,0,7,14,.500,.500,6,11,.545,7,18,25,1,3,1,5,15,20
2014-15,31,TOT,NBA,PF,21,0,126,9,35,.257,0,5,.000,9,30,.300,.257,6,12,.500,16,22,38,4,5,3,3,16,24
2014-15,31,PHO,NBA,PF,16,0,101,6,25,.240,0,4,.000,6,21,.286,.240,5,10,.500,12,14,26,3,4,2,2,13,17
2014-15,31,BOS,NBA,PF,5,0,25,3,10,.300,0,1,.000,3,9,.333,.300,1,2,.500,4,8,12,1,1,1,1,3,7
