Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,19,CHI,NBA,C,71,31,1389,151,304,.497,0,0,0,151,304,.497,.497,134,222,.604,114,229,343,54,28,93,99,179,436
2002-03,20,CHI,NBA,C,75,68,1827,257,484,.531,0,0,0,257,484,.531,.531,177,291,.608,169,345,514,76,37,106,135,220,691
2003-04,21,CHI,NBA,PF,35,8,782,67,158,.424,0,1,.000,67,157,.427,.424,79,118,.669,82,188,270,23,17,43,38,87,213
2004-05,22,CHI,NBA,C,80,10,2189,207,419,.494,0,2,.000,207,417,.496,.494,226,336,.673,261,514,775,65,69,141,118,268,640
2005-06,23,CHI,NBA,C,79,50,2121,160,283,.565,0,1,.000,160,282,.567,.565,97,193,.503,265,449,714,81,41,104,123,298,417
2006-07,24,NOK,NBA,C,73,73,2525,292,468,.624,0,1,.000,292,467,.625,.624,106,201,.527,320,584,904,66,37,129,126,244,690
2007-08,25,NOH,NBA,C,79,79,2783,377,605,.623,0,1,.000,377,604,.624,.623,175,295,.593,322,606,928,81,45,84,136,243,929
2008-09,26,NOH,NBA,C,45,45,1445,160,283,.565,0,0,0,160,283,.565,.565,77,133,.579,163,230,393,22,15,56,70,144,397
2009-10,27,CHA,NBA,C,51,27,1163,109,190,.574,0,0,0,109,190,.574,.574,115,157,.732,114,206,320,16,17,55,91,138,333
2010-11,28,DAL,NBA,C,74,74,2059,266,407,.654,0,0,0,266,407,.654,.654,216,295,.732,206,486,692,32,36,80,88,240,748
2011-12,29,NYK,NBA,C,62,62,2061,241,355,.679,0,2,.000,241,353,.683,.679,217,315,.689,212,400,612,56,56,89,102,186,699
2012-13,30,NYK,NBA,C,66,66,2164,255,400,.638,0,0,0,255,400,.638,.638,179,258,.694,269,434,703,62,42,75,87,188,689
2013-14,31,NYK,NBA,C,55,55,1662,191,322,.593,0,1,.000,191,321,.595,.593,98,155,.632,159,370,529,59,36,63,71,145,480
2014-15,32,DAL,NBA,C,75,75,2286,293,440,.666,0,0,0,293,440,.666,.666,185,257,.720,294,570,864,84,42,91,105,169,771
