Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,22,PHI,NBA,SF,74,0,882,115,327,.352,81,207,.391,34,120,.283,.476,19,24,.792,30,81,111,40,25,8,41,102,330
2004-05,23,PHI,NBA,SF,82,57,2667,317,759,.418,226,558,.405,91,201,.453,.567,82,96,.854,40,339,379,182,103,33,106,265,942
2005-06,24,PHI,NBA,SF,82,43,2563,327,761,.430,184,438,.420,143,323,.443,.551,101,119,.849,27,243,270,163,65,26,98,224,939
2006-07,25,PHI,NBA,SF,74,1,2288,372,845,.440,132,307,.430,240,538,.446,.518,191,209,.914,30,229,259,105,57,20,117,188,1067
2007-08,26,TOT,NBA,SG-PF,75,0,1732,255,575,.443,111,296,.375,144,279,.516,.540,119,130,.915,21,151,172,101,42,29,75,192,740
2007-08,26,PHI,NBA,PF,25,0,657,90,227,.396,38,108,.352,52,119,.437,.480,31,34,.912,12,61,73,33,20,6,28,67,249
2007-08,26,UTA,NBA,SG,50,0,1075,165,348,.474,73,188,.388,92,160,.575,.579,88,96,.917,9,90,99,68,22,23,47,125,491
2008-09,27,UTA,NBA,SF,78,2,1874,245,560,.438,103,267,.386,142,293,.485,.529,112,127,.882,35,223,258,137,47,30,90,170,705
2009-10,28,UTA,NBA,SG,52,0,952,138,280,.493,59,110,.536,79,170,.465,.598,39,49,.796,10,101,111,89,26,12,42,76,374
2010-11,29,CHI,NBA,SG,82,0,1649,242,557,.434,120,289,.415,122,268,.455,.542,77,87,.885,12,138,150,124,35,20,60,156,681
2011-12,30,CHI,NBA,SG,65,7,1469,178,412,.432,118,271,.435,60,141,.426,.575,55,66,.833,26,133,159,112,36,15,53,110,529
2012-13,31,ATL,NBA,SF,74,60,2259,277,601,.461,189,414,.457,88,187,.471,.618,67,78,.859,23,270,293,146,70,37,70,170,810
2013-14,32,ATL,NBA,SG,71,71,2408,289,609,.475,185,392,.472,104,217,.479,.626,87,94,.926,22,260,282,208,70,24,102,147,850
2014-15,33,ATL,NBA,SG,75,75,2418,292,600,.487,221,449,.492,71,151,.470,.671,106,118,.898,15,289,304,196,52,42,107,140,911
